,NGA,PolID,Time
780,Upper Egypt,EgNaqa2,-3400
5336,Upper Egypt,EgNaqa3,-3200
5335,Upper Egypt,EgNaqa3,-3300
3811,Kachi Plain,PkUrbn1,-2500
3443,Konya Plain,TrNHitt,-1100
2561,Iceland,IsCommw,1000
907,Iceland,IsCommw,1200
3882,Latium,ItRomRg,-700
7577,Konya Plain,TrBrzMD,-2000
4297,Latium,ItRomRg,-600
4033,Southern China Hills,CnHChin,1900
3557,Orkhon Valley,MnRourn,300
873,Cuzco,PeWari*,700
8172,Southern China Hills,CnHQngL,1800
680,Paris Basin,FrTeneB,-300
5046,Iceland,IsCommw,1100
5155,Middle Yellow River Valley,CnErlit,-1800
4060,Susiana,IrMElm1,-1500
2999,Kansai,JpKofun,300
1774,Kapuasi Basin,IdBrokL,1900
6957,Susiana,IrSukkL,-1600
7698,Orkhon Valley,MnRourn,500
7788,Susiana,IrMElm2,-1300
3829,Kansai,JpKofun,500
6312,Kansai,JpKofun,400
